ID_BANDA,NOMBRE_COMPLETO,LOCALIDAD,PROVINCIA,FECHA_FUND,FECHA_EXT,ULTIMO_DISCO,STATUS,CANAL_URL,CANDIDATOS,NOTA
1,Agrupación Musical Nuestra Señora De La Victoria,Arahal,Sevilla,1980.0,,2012.0,exacto,https://www.youtube.com/@amvictoriaarahal1980,,"Canal 'AM VICTORIA ARAHAL', coincide con fundación 1980 y localidad Arahal."
2,Agrupación Musical Nuestro Padre Jesús De La Redención,Córdoba,Córdoba,1989.0,,2010.0,exacto,https://www.youtube.com/@RedencionCordoba,"https://www.youtube.com/channel/UCV8-0KTrvlwPksTrqCVaKDQ (Canal 'Topic' (auto-generado por YouTube, no gestionado por la banda) etiquetado explícitamente como 'de Córdoba', pero no es un canal oficial gestionado.) | https://www.youtube.com/channel/UCB2ylcAqAyqZeZCUPasMuBg (Canal titulado 'La Redención - YouTube' encontrado en búsqueda centrada en Córdoba, pero existe una banda homónima en Sevilla (ID_BANDA 11) con canal propio confirmado y fecha de fundación 1978; alto riesgo de confusión entre ambas bandas 'Redención'.)",Existe una segunda banda con el mismo nombre en Sevilla (ID 11) que sí tiene canal oficial claro; no se pudo confirmar con seguridad un canal propio y gestionado específico para la banda de Córdoba.
3,Agrupación Musical Cristo De La Misericordia,Lepe,Huelva,,,2007.0,no_encontrado,,,"Solo se encontraron vídeos sueltos de terceros, blog y web oficial (ammisericordialepe.es), sin canal de YouTube propio identificable. Otros canales 'Misericordia' hallados pertenecen a bandas de otras localidades (Cáceres, Segovia, Viveiro)."
4,Agrupación Musical Cristo De La Buena Muerte,Ayamonte,Huelva,1980.0,,2009.0,no_encontrado,,,"Numerosos vídeos con marca consistente 'AM Buena Muerte (Ayamonte)' y presencia activa en Instagram/X (@ambuenamuerte), pero no se pudo confirmar un canal de YouTube propio (handle o URL de canal) con certeza."
5,Banda De Cornetas Y Tambores De La Centuria Romana Macarena,Sevilla,Sevilla,,,2018.0,exacto,https://www.youtube.com/@bandacenturia,,"Canal 'Banda de la Centuria Romana Macarena', coincide con la banda de la Hermandad de la Macarena en Sevilla."
6,Agrupación Musical Virgen De Los Reyes,Sevilla,Sevilla,1991.0,,2015.0,exacto,https://www.youtube.com/channel/UCXchDNSKTFF1maH_A8Gpjuw,,"Canal 'Virgen de los Reyes', corroborado por Instagram @agrupacionvr, banda de Sevilla."
7,Banda De Cornetas Y Tambores Nuestra Señora Del Sol,Sevilla,Sevilla,1975.0,,2012.0,exacto,https://www.youtube.com/channel/UCYmabM936f1niAoy_yFTStA,,"Canal oficial de 'Banda del SôL', vinculado a web conocida bandasol.com."
8,Banda De Cornetas Y Tambores Nuestra Señora De La Fuensanta,Córdoba,Córdoba,1992.0,2008.0,2003.0,no_encontrado,,,"Banda extinta (2008); solo aparecen referencias en Spotify/Apple Music y bandas sucesoras/distintas ('Fuensanta Coronada', 'Jesús Caído y Fuensanta'). Prioridad baja, búsqueda única realizada."
9,Agrupación Musical Paz Y Caridad,Estepa,Sevilla,2000.0,,2011.0,exacto,https://www.youtube.com/@pazycaridadestepa2309,,"Canal 'Paz y Caridad Estepa', coincide con la banda de Estepa, Sevilla."
10,Agrupación Musical Nuestro Padre Jesús De Los Afligidos,Puente Genil,Córdoba,1998.0,,2013.0,exacto,https://www.youtube.com/@AMAFLIGIDOS,,"Canal 'AMAFLIGIDOS', coincide con la banda de Puente Genil, Córdoba."
11,Agrupación Musical Nuestro Padre Jesús De La Redención,Sevilla,Sevilla,1978.0,,2018.0,exacto,https://www.youtube.com/c/AMRedenci%C3%B3n1978,,"Canal 'La Redención', el sufijo '1978' coincide con la fecha de fundación de esta banda de Sevilla (FECHA_FUND 1978), distinguiéndola de la homónima de Córdoba (ID 2). Web conocida amredencion.com."
12,Agrupación Musical Santa Marta Y Sagrada Cena,León,León,2000.0,,2013.0,exacto,https://www.youtube.com/@lacenadeleonagrupacionmusi2427,,"Canal 'La Cena de León Agrupación Musical', canal propio de la banda (distinto del canal de la Hermandad)."
13,Banda De Cornetas Y Tambores Nuestro Padre Jesús Cautivo Y Santiago Apostol ,Sanlúcar La Mayor Y Aznalcázar,Sevilla,2006.0,2012.0,2009.0,no_encontrado,,,"Banda extinta (disuelta en 2012); solo se encontraron blogs y referencias históricas, sin canal de YouTube propio. Prioridad baja, búsqueda única realizada."
14,Agrupación Musical Cruz Roja,Tobarra,Albacete,1977.0,,2010.0,exacto,https://www.youtube.com/channel/UCkoz03B7E43DHo9PHKeUiWQ,,"Canal 'Cruz Roja Tobarra', coincide con la banda de Tobarra, Albacete, y su web conocida."
15,Agrupación Musical Nuestra Señora De La Encarnación,Almuñécar,Granada,2002.0,,2009.0,exacto,https://www.youtube.com/@amencarnacionsb,,"Canal 'Agrupación Musical Ntra. Sra. de la Encarnación', coincide con la banda de Almuñécar, Granada."
16,Banda De Cornetas Y Tambores Nuestra Señora De La Victoria,Sevilla,Sevilla,1979.0,,2018.0,exacto,https://www.youtube.com/lascigarreras,,"Canal oficial 'Las Cigarreras', coincide con web conocida lascigarreras.net."
17,Agrupación Musical Nuestro Padre Jesús Nazareno De La Fuensanta,Morón De La Frontera,Sevilla,1990.0,,2011.0,exacto,https://www.youtube.com/@FuensantadeMor%C3%B3n,"https://www.youtube.com/channel/UCO1qxM6srCjixXKRbEBaVDQ (Canal genérico llamado 'Fuensanta' que aparece asociado a vídeos de 'AM Fuensanta (Morón)', pero el nombre es demasiado genérico para confirmar que es el canal propio y oficial de esta banda concreta.)","Existe una banda distinta llamada 'Agrupación Musical Virgen de la Fuensanta' (canal @amvfuensanta) que NO corresponde a esta banda (esta es 'Nuestro Padre Jesús Nazareno de la Fuensanta', de Morón de la Frontera); se descarta ese canal para evitar confusión."
18,Banda De Cornetas Y Tambores Santísimo Cristo De La Caridad (Santa Marta),Jerez De La Frontera,Cádiz,1997.0,,2006.0,exacto,https://www.youtube.com/@CaridadDeJerez,,"Canal 'Caridad Jerez', coincide con la banda de Jerez de la Frontera, Cádiz."
19,Banda De Cornetas Y Tambores Nuestro Padre Jesús Nazareno,Mairena Del Alcor,Sevilla,1992.0,2008.0,2002.0,no_encontrado,,,"Banda extinta (2008) de Mairena del Alcor; existen múltiples bandas homónimas 'Nuestro Padre Jesús Nazareno' en otras localidades (Arahal, Guadalajara, Cazalla de la Sierra, Huelma) pero ninguna claramente identificable como la de Mairena del Alcor. Prioridad baja, búsqueda única realizada."
20,Banda De Cornetas Y Tambores Santísimo Cristo De Las Tres Caídas,Sevilla,Sevilla,1980.0,,2017.0,exacto,https://www.youtube.com/channel/UC0KBrF8twZ_ZarsZMn47ScQ,,"Canal oficial 'Tres Caídas de Triana', coincide con web conocida trescaidasdetriana.com."
21,Agrupación Musical San Juan De Aznalfarache,San Juan De Aznalfarache,Sevilla,1970.0,2003.0,2002.0,no_encontrado,,,"Banda extinta (2003), sustituida por la Banda 'Amor de Cristo'. No se encontró canal de YouTube propio; existe un canal activo de una banda homónima distinta en Jerez de la Frontera que no corresponde a esta. Prioridad baja, búsqueda única realizada."
22,Agrupación Musical Santa María Magdalena,Arahal,Sevilla,1964.0,,2014.0,exacto,https://www.youtube.com/channel/UChOcuyUwV63LsqoxsnutC1g,,"Canal 'Agrupación Musical Santa María Magdalena', coincide con la banda de Arahal, Sevilla."
23,Banda De Cornetas Y Tambores Nuestro Padre Jesús En La Presentación Al Pueblo,Dos Hermanas,Sevilla,1988.0,,2011.0,exacto,https://www.youtube.com/@presentacionalpueblodosher7571,,"Canal 'Presentación al Pueblo Dos Hermanas', coincide con web conocida presentacionalpueblo.com."
24,Banda De Cornetas Y Tambores Nuestra Señora Del Rosario,Cádiz,Cádiz,1998.0,,2018.0,exacto,https://www.youtube.com/@rosariodecadiz,,"Canal oficial 'Rosario de Cádiz', coincide con la banda 'Nuestra Señora del Rosario Coronada' de Cádiz."
25,Agrupación Musical Polillas,Cádiz,Cádiz,1991.0,,2014.0,exacto,https://www.youtube.com/user/ampolillas,,"Canal 'Agrupación Musical Polillas', coincide con web conocida ampolillas.es."
26,Agrupación Musical Nuestro Padre Jesús De La Salud (Los Gitanos),Sevilla,Sevilla,1996.0,,2015.0,exacto,https://www.youtube.com/@LosGitanosSM,,"Canal 'Sección Musical Los Gitanos' (SM = Sección Musical), coincide con web conocida seccionmusical.hermandaddelosgitanos.com."
27,Agrupación Musical Nuestro Padre Jesús De La Piedad En Su Presentación Al Pueblo,Jaén,Jaén,1996.0,,2013.0,exacto,https://www.youtube.com/@amlaestrellajaen,,"Canal 'Agrupación Musical La Estrella de Jaén', coincide con web conocida amlaestrellajaen.es."
28,Agrupación Musical La Sentencia,Jerez De La Frontera,Cádiz,1995.0,,2017.0,exacto,https://www.youtube.com/channel/UCJS-OrUJEbQxxkqIMH8LYNg,,Canal 'La Sentencia' con videos de conciertos y actuaciones de la banda en Jerez; coincide con su web amlasentencia.com
29,Agrupación Musical Fusionada San Juan Evangelista Y Santo Sepulcro,Bailén Y Sabiote,Jaén,2004.0,2013.0,2010.0,no_encontrado,,,"Banda extinta en 2013, se escindió en dos bandas separadas (AM San Juan de Bailén y AM Santo Sepulcro de Sabiote), ninguna con canal correspondiente a la entidad fusionada original"
30,Agrupación Musical Virgen De La Oliva,Vejer De La Frontera,Cádiz,1991.0,,2015.0,exacto,https://www.youtube.com/user/amvirgendelaoliva,,Coincide con web oficial amvirgendelaoliva.com; también existe canal 'Topic' UCE7USv8XNKPbfe2QRAeODig
31,Banda De Cornetas Y Tambores Coronación De Espinas,Córdoba,Córdoba,1996.0,,2009.0,exacto,https://www.youtube.com/channel/UCmH6Omtawdi-mYgEvi-dT4w,,"Canal 'Coronación de Espinas Córdoba', coincide con su web bandacoronacion.es"
32,Banda De Cornetas Y Tambores Santísimo Cristo De La Sangre (San Benito),Sevilla,Sevilla,1992.0,,2006.0,exacto,https://www.youtube.com/channel/UCL1so9oOcC1RtmNS6jUsxXw,,"Canal 'Banda de la Sangre', coincide con su web bandacristodelasangre.org"
33,Agrupación Musical San Juan,Jerez De La Frontera,Cádiz,1978.0,,2014.0,exacto,https://www.youtube.com/channel/UCtkto9O4skXv4_CiP8wEGXA,,Canal 'Agrupación Musical San Juan (Oficial)' de Jerez de la Frontera; también existe canal 'Topic' UCzkxT4MAFlPU78srxWvqDQQ
34,Agrupación Musical Nuestra Señora De Las Angustias,Alcalá La Real,Jaén,1982.0,,2013.0,exacto,https://www.youtube.com/channel/UC0jsRY4EKvwmdKQ0B3-WPeA,,Canal 'AM Angustias Alcalá la Real' con videos de sus marchas propias
35,Agrupación Musical Dulce Nombre De Jesús,Marchena,Sevilla,1979.0,,2010.0,no_encontrado,,,"Solo se localizó una playlist de terceros ('Am Dulce Nombre de Jesús (Marchena)') y videos sueltos, sin canal oficial propio identificable"
36,Banda De Cornetas Y Tambores San Juan Evangelista,Sevilla,Sevilla,1994.0,,2011.0,exacto,https://www.youtube.com/@sanjuanevangelistaesperanz4401,,"Canal 'San Juan Evangelista (Esperanza de Triana)', coincide con la banda de la Hermandad de la Esperanza de Triana, Sevilla"
37,Agrupación Musical Nuestro Padre Jesús Despojado,Jaén,Jaén,1998.0,,2014.0,exacto,https://www.youtube.com/channel/UCvoPj7MOHXUYVBhuV7YNuFQ,,Canal 'Topic' autogenerado por YouTube a partir de su discografía distribuida oficialmente ('AM Despojado (Jaén)'); no se halló canal gestionado manualmente adicional
38,Banda De Cornetas Y Tambores Nuestro Padre Jesús Cautivo (Santa Genoveva),Sevilla,Sevilla,1998.0,2018.0,2001.0,no_encontrado,,,"Banda extinta en 2018; solo se hallaron playlists/videos subidos por canales de terceros, no un canal propio"
39,Banda De Cornetas Y Tambores Fundación Alcalde Zoilo Ruiz-Mateos,Rota,Cádiz,1981.0,,2002.0,no_encontrado,,,Numerosos videos con nomenclatura consistente 'BCT Zoilo Ruiz-Mateos (Rota)' pero no se pudo confirmar URL de un canal propio dedicado
40,Agrupación Musical Santísimo Cristo De Gracia,Córdoba,Córdoba,2006.0,,2012.0,exacto,https://www.youtube.com/channel/UC9oA4Bx2YcvcfrbPgvSybRA,,"Canal 'A.M. Cristo de Gracia', coincide con su web amstmocristodegracia.es"
41,Agrupación Musical Santísimo Cristo De Humildad Y Paciencia,San Fernando,Cádiz,2003.0,2009.0,2004.0,no_encontrado,,,"Banda extinta en 2009; los resultados solo muestran videos de la procesión de la Hermandad, no un canal propio de la banda"
42,Banda De Cornetas Y Tambores Vera Cruz,Utrera,Sevilla,1981.0,,2011.0,exacto,https://www.youtube.com/channel/UCIeJ7nvDeXSPWQRyC4DeP8Q,,"Canal 'CC y TT Vera Cruz Utrera', coincide con sus redes sociales oficiales (@bctveracruzutrera)"
43,Agrupación Musical Rosario Civitas Solis,Écija,Sevilla,,,1999.0,no_encontrado,,,"Solo se hallaron referencias en blogs/discografías de terceros, ningún canal de YouTube propio"
44,Banda De Cornetas Y Tambores La Cruz,Tomares,Sevilla,1989.0,2008.0,2005.0,no_encontrado,,,"Banda extinta en 2008; solo presencia en Spotify/SoundCloud, sin canal de YouTube"
45,Agrupación Musical Hermanos Cirineos,Cádiz,Cádiz,1993.0,2011.0,2004.0,no_encontrado,,,Banda extinta en 2011; no se halló canal de YouTube
46,Banda De Cornetas Y Tambores Santísimo Cristo Del Mar,Vélez-Málaga,Málaga,2000.0,,2010.0,exacto,https://www.youtube.com/@Bandacristodelmar,,Coincide con su web bandacristodelmar.blogspot.com y redes sociales oficiales
47,Banda De Cornetas Y Tambores Nuestra Señora De Las Mercedes (Santa Genoveva),Sevilla,Sevilla,1998.0,2001.0,1999.0,no_encontrado,,,"Banda extinta en 2001; solo se hallaron videos de la Hermandad de Santa Genoveva, no un canal propio de la banda"
48,Agrupación Musical Nuestro Padre Jesús De La Pasión,Linares,Jaén,1996.0,,2006.0,exacto,https://www.youtube.com/channel/UCAQeYo6-kSYPl9pEmKqi4iQ,,"Canal 'Pasión de Linares', coincide con la banda y su web lapasiondelinares.org"
49,Agrupación Musical Santísimo Cristo De La Salud,Alcalá La Real,Jaén,1995.0,,2007.0,exacto,https://www.youtube.com/channel/UCIsFp7G-hncrH1ien69DZVw,,Canal 'Agrupación Musica Stmo. Cristo de la Salud (Alcalá La Real)'
50,Agrupación Musical María Santísima De Los Dolores,Linares,Jaén,1981.0,,2015.0,exacto,https://www.youtube.com/@amrescatelinares,,Canal 'Agrupación Musical María Stma. de los Dolores' (El Rescate) de Linares
51,Agrupación Musical Maestro Jácome,Cádiz,Cádiz,1993.0,2006.0,2004.0,no_encontrado,,,Banda extinta en 2006; no se halló canal de YouTube propio
52,Banda De Cornetas Y Tambores Santísimo Cristo De La Sed,Sevilla,Sevilla,1991.0,2003.0,2002.0,no_encontrado,,,"Banda extinta en 2003; no se halló canal de YouTube propio, solo referencias en directorios y Spotify"
53,Agrupación Musical Cristo Del Amor (La Cena),Huelva,Huelva,1978.0,,2011.0,exacto,https://www.youtube.com/channel/UCP8x_hxUhJuHl0kDSCHlmrw,,"Canal 'AM CENA HUELVA', coincide con su web cenadehuelva.com"
54,Agrupación Musical Santísimo Cristo De La Buena Muerte,Jaén,Jaén,1981.0,2002.0,1996.0,no_encontrado,,,Banda extinta en 2002; no se halló canal de YouTube propio
55,Agrupación Musical Nuestro Padre Jesús Nazareno,La Algaba,Sevilla,1978.0,,2015.0,exacto,https://www.youtube.com/@NazarenoLaAlgaba,,Canal oficial 'NAZARENO DE LA ALGABA'; también accesible en formato legado youtube.com/user/AMJESUSNAZARENO (parece el mismo canal). Coincide con localidad y discografía.
56,Banda De Cornetas Y Tambores Nuestra Señora De La Salud,Utrera,Sevilla,1992.0,2007.0,2005.0,no_encontrado,,,"Banda extinta (Utrera). Solo aparece el canal de la banda homónima de Córdoba (@bandasaludcordoba), que NO corresponde a esta banda de Utrera."
57,Agrupación Musical Nuestra Señora De La Estrella,Dos Hermanas,Sevilla,1969.0,,2015.0,exacto,https://www.youtube.com/@EstrelladeDosHermanas,"https://www.youtube.com/channel/UC8swqn3OwZxLq8P_YrmJtkg (Canal 'Topic' autogenerado por YouTube para la banda de Dos Hermanas, no gestionado directamente por la agrupación. No se ha encontrado canal oficial gestionado por la banda.)",Solo aparece un canal Topic y una playlist de fan; sin canal oficial claro.
58,Agrupación Musical María Santísima De La Cabeza,Exfiliana,Granada,1995.0,,2010.0,exacto,https://www.youtube.com/channel/UCH9mNWKP8szm79n8d5edXpQ,,"Canal 'Agrupación Musical Mª Stma. de la Cabeza - Exfiliana (Granada)', coincide con localidad."
59,Banda De Cornetas Y Tambores Monte Calvario,Martos,Jaén,1998.0,,2008.0,exacto,https://www.youtube.com/@BCTMonteCalvario,,"Canal 'Banda Monte Calvario Martos', coincide con localidad."
60,Agrupación Musical María Santísima De La Paz,Sevilla,Sevilla,1991.0,2000.0,1997.0,no_encontrado,,,"Banda extinta (activa 1991-2000, Sevilla, absorbió a AM San Julián). No se encontró canal de YouTube."
61,Agrupación Musical Cristo De La Expiración,La Rambla,Córdoba,1980.0,,2011.0,exacto,https://www.youtube.com/@AMExpiracionLaRambla,"https://www.youtube.com/channel/UCRgfsSQnMxgfxtnCHeV5d7g/videos (Canal 'Agrupación Musical La Expiración', nombre genérico que podría corresponder a otra banda 'La Expiración' de otra localidad; no se confirma que sea la de La Rambla (Córdoba).)",Web conocida expiracionlarambla.es no se pudo consultar (WebFetch no disponible) para verificar el enlace a su canal de YouTube.
62,Agrupación Musical Virgen De Las Angustias,Cabra,Córdoba,1998.0,,2013.0,dudoso,,"https://www.youtube.com/channel/UC5SEkdj3u36J7vDpO7TxkPg (Canal 'Agrupación Musical Virgen de las Angustias de Cabra, Córdoba - Topic', autogenerado, no gestionado directamente por la banda. Cuidado: existe otra banda homónima en Granada (canal distinto UCGQMsr_HqK-sILVjI1drxnw).)",Solo se encontró canal Topic para la banda de Cabra. | DESCARTADO
63,Agrupación Musical Sagrada Cena,Cádiz,Cádiz,2006.0,,2012.0,dudoso,,"https://www.youtube.com/@AMSCCadiz (Canal 'Agrupación Musical Sagrada Cena Cádiz' con nombre coincidente, pero su propia descripción indica que recopila vídeos de otros autores (no parece gestionado oficialmente por la agrupación, más bien un canal de aficionado/recopilatorio).)","Nombre coincide pero la descripción del canal sugiere que no es un canal oficial gestionado por la banda. | DESCARTADO: banda renombrada, se actualizará en la base de datos"
64,Agrupación Musical Nuestra Señora De La Encarnación (San Benito),Sevilla,Sevilla,1980.0,,2014.0,exacto,https://www.youtube.com/@amencarnacionsb,,"Handle 'amencarnacionsb' coincide claramente con la banda de San Benito, Sevilla."
65,Banda De Cornetas Y Tambores Nuestra Señora De Los Ángeles,Alcalá De Guadaira,Sevilla,1993.0,2012.0,2002.0,no_encontrado,,,"Banda extinta de Alcalá de Guadaira (fundada 1993, extinta 2012). No confundir con la banda homónima activa de Sevilla (ID 71, comolosangeles.es); no se encontró canal propio de esta banda de Alcalá de Guadaira."
66,Agrupación Musical Nuestra Señora De Las Nieves,Adeje,Santa Cruz de Tenerife,,,2004.0,no_encontrado,,,"No se encontró canal de YouTube propio de la agrupación de Adeje, Tenerife."
67,Agrupación Musical Dulce Nombre De Jesús,Granada,Granada,2004.0,,2007.0,exacto,https://www.youtube.com/@amdulcenombregr,,Handle 'amdulcenombregr' coincide claramente con la banda de Granada.
68,Agrupación Musical Isla De León,San Fernando,Cádiz,1986.0,,2001.0,no_encontrado,,,No se encontró canal de YouTube propio; solo vídeos sueltos subidos por terceros.
69,Agrupación Musical Virgen De Las Lágrimas,San Fernando,Cádiz,1993.0,,2017.0,exacto,https://www.youtube.com/channel/UC9fksCr4sRTIkpNZIXd3Y2Q,,"Canal 'Lágrimas de Dolores', nombre actual de la banda (antes 'Virgen de las Lágrimas'), San Fernando, Cádiz."
70,Agrupación Musical Santo Tomás De Villanueva,Ciudad Real,,2002.0,,2017.0,exacto,https://www.youtube.com/@agrupacionsantotomas,,"Canal 'Agrupación Musical Santo Tomás de Villanueva', Ciudad Real."
71,Banda De Cornetas Y Tambores Nuestra Señora De Los Ángeles,Sevilla,,1992.0,,2014.0,exacto,https://www.youtube.com/BCTAngeles,,Coincide con la web conocida comolosangeles.es; banda de Sevilla (BCT Ángeles).
72,Banda De Cornetas Y Tambores Madre De Dios De Los Desamparados,Sevilla,,1995.0,2016.0,2009.0,no_encontrado,,,"Banda extinta; solo se encontró cuenta de Twitter/X (@Desamparados18), sin canal de YouTube."
73,Agrupación Musical Santa Marta,La Algaba,,1982.0,2000.0,1996.0,exacto,https://www.youtube.com/user/SantaMartaLaAlgaba,,"Canal 'Agrupación Musical Santa Marta La Algaba' con nombre exacto, aunque la banda está extinta desde 2000 (canal probablemente archivado/memorial)."
74,Agrupación Musical Carlos III,La Carlota,,1976.0,,2004.0,exacto,https://www.youtube.com/@AMCarlosIII,"https://www.youtube.com/channel/UC8yT5j65p8ZyS87lFQ-SxNA (Canal 'Agrupación Musical Carlos III - Topic', autogenerado, no gestionado directamente por la banda.)",Solo se encontró canal Topic; existe cuenta de X @amcarlosiii pero no canal de YouTube propio confirmado.
75,Banda De Cornetas Y Tambores Corona De Espinas,Sevilla,,1994.0,2010.0,2010.0,dudoso,,"https://www.youtube.com/channel/UChKeNw7QU6lp-iliM_h2B_Q (Canal 'Banda de Cornetas y Tambores Corona de Espinas - Topic', autogenerado. Cuidado: existe banda homónima 'Coronación de Espinas' en Córdoba (bandacoronacion.es) que es distinta.)",Banda extinta de Sevilla; solo canal Topic encontrado. | DESCARTADO
76,Banda De Cornetas Y Tambores Nuestro Padre Jesús Despojado De Sus Vestiduras,Granada,,,,2015.0,no_encontrado,,,"Abundantes vídeos de la banda (BCT Despojado, Granada) mediante distintos uploaders, pero no se localizó un canal de YouTube propio/oficial ni handle claro."
77,Banda De Cornetas Y Tambores Santísimo Cristo De La Exaltación,Sevilla,,1998.0,2002.0,1999.0,no_encontrado,,,"Banda extinta de Sevilla; solo playlists/vídeos sueltos, sin canal propio identificado."
78,Agrupación Musical María Auxiliadora,Jaén,,,,,no_encontrado,,,Nombre muy ambiguo (coincide con muchos centros/colegios/parroquias María Auxiliadora); no se encontró canal de YouTube específico de la banda de Jaén.
79,Agrupación Musical Nuestra Señora de la Caridad,Sanlúcar de Barrameda,,1970.0,,1996.0,dudoso,,https://www.youtube.com/@CanalVirgendelaCaridad (Canal 'Canal Virgen de la Caridad' de Sanlúcar de Barrameda; podría ser el canal de la hermandad/patrona en general y no específicamente de la agrupación musical.),No se confirma canal propio de la banda; el candidato parece más ligado a la hermandad que a la agrupación musical. | DESCARTADO
80,Banda de la Segunda Comandancia Móvil de la Guardia Civil de Eritaña,Sevilla,,,1975.0,1972.0,no_encontrado,,,"Banda extinta (desapareció en los años 70); solo vídeos sueltos subidos por terceros con grabaciones históricas, sin canal propio."
81,Agrupación Musical María Santísima De La Estrella,Granada,,1979.0,,2013.0,exacto,https://www.youtube.com/channel/UCsX3v06kXptVfV66lBjR0qw,,"Canal 'La Estrella ~ Granada', banda decana de Granada fundada en 1979."
82,Banda de Cornetas y Tambores de Nuestro Padre Jesús de la Humildad,Sevilla,,2007.0,2016.0,2009.0,no_encontrado,,,Banda extinta (2016). Solo aparecen referencias a un CD antiguo y a otras bandas homónimas de otras localidades; ningún canal de YouTube propio identificable.
83,Agrupación Musical Cristo de la Sagrada Lanzada,Sevilla,,1978.0,1986.0,1982.0,dudoso,,"https://www.youtube.com/channel/UCRgv3VN_CZzHtzoBe7coadQ (Canal 'Agrupación Musical Cristo de la Sagrada Lanzada - Topic', autogenerado por YouTube a partir de su música en plataformas de streaming (Spotify/Apple Music), no un canal gestionado oficialmente por la banda (extinta desde 1986).)",DESCARTADO
84,Agrupación Musical Nuestra Señora De La Soledad,Pozoblanco,,1982.0,,2004.0,no_encontrado,,,"Se localizó el canal de la Hermandad Ntra. Sra. de la Soledad de Pozoblanco (youtube.com/user/soledadpozoblanco) y un canal 'SOLEDAD' sin identificar claramente, pero ninguno se confirma como canal propio de la agrupación musical."
85,Agrupación Musical Nuestra Señora De Valme,Dos Hermanas,,2004.0,,2009.0,exacto,https://www.youtube.com/c/AMValmeDosHermanas,,"Canal 'AM Valme Dos Hermanas', coincide con el nombre de la banda, su localidad y su presencia en redes (Instagram/Facebook 'amvalmeoficial')."
86,Banda De Cornetas Y Tambores Santísimo Cristo De La Expiración,Morón De La Frontera,,1991.0,2010.0,2005.0,dudoso,,"https://music.youtube.com/channel/UCup3dn7LgrjD6nxXub3qxBg (Canal de YouTube Music que coincide con el nombre exacto de la banda y localidad, pero no se ha confirmado un canal youtube.com estándar gestionado por la banda (solo se encontró también una playlist de terceros).)","Nuestros datos indican banda extinta en 2010, pero hay contenido en streaming (Spotify) más reciente; posible discrepancia en la fecha de extinción o reactivación. | DESCARTADO"
87,Agrupación Musical María Santísima De Los Dolores,Carcabuey,,1989.0,,2012.0,no_encontrado,,,"Existen cuentas en X (@AM_LosDolores / @AMLosDolores) y vídeos sueltos en YouTube, pero no se identificó un canal de YouTube propio y oficial de la banda."
88,Banda De Cornetas Y Tambores Santísimo Cristo De La Vera Cruz,Los Palacios Y Villafranca,,1996.0,,2000.0,exacto,https://www.youtube.com/c/BctVeraCruzLosPalacios,,"Canal 'Vera-Cruz de Los Palacios', coincide con nombre completo y localidad (Los Palacios y Villafranca); también existe blog oficial veracruzlospalacios.blogspot.com."
89,Agrupación Musical Nuestro Padre Jesús Despojado de sus vestiduras,Sevilla,,1980.0,1991.0,2009.0,dudoso,,"https://music.youtube.com/channel/UCvoPj7MOHXUYVBhuV7YNuFQ (Canal de YouTube Music con nombre similar ('Agrupación Musical Nuestro Padre Jesús Despojados...'), pero existe riesgo de confusión con la homónima agrupación de Écija (activa) frente a la de Sevilla (extinta en 1991), y no se confirma que sea un canal oficial gestionado por la banda.)",DESCARTADO
